iter	Passed	Remaining
0	151	45209
1	161	24002
2	169	16772
3	178	13222
4	187	11083
5	198	9711
6	205	8592
7	214	7841
8	225	7299
9	235	6838
10	244	6417
11	253	6089
12	264	5836
13	274	5613
14	286	5447
15	297	5285
16	306	5107
17	315	4944
18	327	4847
19	337	4720
20	348	4625
21	360	4549
22	370	4462
23	380	4381
24	389	4282
25	399	4213
26	410	4154
27	418	4068
28	425	3980
29	435	3921
30	445	3864
31	456	3819
32	467	3782
33	478	3741
34	488	3701
35	501	3679
36	512	3645
37	527	3638
38	539	3610
39	548	3563
40	558	3530
41	567	3487
42	576	3443
43	584	3402
44	594	3367
45	602	3326
46	610	3284
47	618	3247
48	628	3217
49	636	3183
50	645	3152
51	656	3128
52	667	3109
53	676	3081
54	687	3062
55	694	3027
56	704	3004
57	713	2975
58	722	2952
59	732	2929
60	741	2904
61	752	2887
62	761	2864
63	770	2841
64	779	2819
65	787	2793
66	795	2767
67	806	2751
68	814	2727
69	824	2707
70	832	2684
71	840	2662
72	848	2637
73	858	2620
74	866	2598
75	875	2579
76	884	2562
77	891	2538
78	900	2518
79	909	2502
80	917	2481
81	924	2458
82	933	2440
83	943	2426
84	951	2406
85	959	2387
86	968	2372
87	976	2352
88	984	2334
89	992	2316
90	1000	2298
91	1008	2279
92	1017	2263
93	1024	2245
94	1032	2229
95	1040	2210
96	1048	2193
97	1057	2179
98	1064	2161
99	1073	2147
100	1081	2130
101	1089	2114
102	1095	2095
103	1103	2080
104	1111	2064
105	1119	2048
106	1128	2035
107	1136	2019
108	1143	2003
109	1151	1988
110	1158	1972
111	1166	1958
112	1174	1943
113	1182	1928
114	1189	1914
115	1197	1899
116	1206	1886
117	1214	1873
118	1223	1861
119	1232	1848
120	1240	1835
121	1250	1825
122	1259	1812
123	1267	1798
124	1274	1784
125	1281	1769
126	1289	1756
127	1296	1742
128	1305	1731
129	1313	1717
130	1320	1703
131	1327	1690
132	1335	1677
133	1342	1663
134	1350	1651
135	1357	1637
136	1365	1625
137	1373	1612
138	1381	1599
139	1387	1586
140	1395	1573
141	1402	1561
142	1412	1550
143	1419	1537
144	1427	1525
145	1434	1513
146	1442	1501
147	1449	1489
148	1458	1478
149	1466	1466
150	1473	1454
151	1480	1441
152	1488	1429
153	1495	1418
154	1505	1408
155	1513	1396
156	1521	1385
157	1529	1374
158	1536	1362
159	1544	1351
160	1552	1340
161	1561	1330
162	1573	1322
163	1591	1319
164	1602	1310
165	1612	1301
166	1623	1292
167	1631	1281
168	1638	1270
169	1645	1258
170	1653	1247
171	1661	1236
172	1669	1225
173	1678	1215
174	1688	1206
175	1698	1196
176	1709	1188
177	1720	1178
178	1727	1167
179	1735	1157
180	1743	1146
181	1750	1134
182	1757	1123
183	1763	1111
184	1771	1100
185	1780	1091
186	1788	1080
187	1796	1070
188	1805	1060
189	1813	1050
190	1821	1039
191	1828	1028
192	1836	1018
193	1844	1007
194	1852	997
195	1860	987
196	1869	977
197	1877	967
198	1886	957
199	1896	948
200	1905	938
201	1912	927
202	1923	918
203	1934	910
204	1941	899
205	1951	890
206	1958	880
207	1967	870
208	1975	860
209	1984	850
210	1993	840
211	2002	831
212	2010	821
213	2018	811
214	2026	801
215	2035	791
216	2042	781
217	2050	771
218	2057	761
219	2064	750
220	2072	740
221	2080	731
222	2090	721
223	2099	712
224	2107	702
225	2115	692
226	2122	682
227	2130	672
228	2138	662
229	2146	653
230	2154	643
231	2162	633
232	2170	624
233	2178	614
234	2185	604
235	2194	595
236	2201	585
237	2209	575
238	2216	565
239	2224	556
240	2232	546
241	2240	536
242	2248	527
243	2256	517
244	2264	508
245	2271	498
246	2278	488
247	2286	479
248	2294	469
249	2302	460
250	2309	450
251	2317	441
252	2324	431
253	2331	422
254	2339	412
255	2347	403
256	2355	394
257	2362	384
258	2371	375
259	2380	366
260	2389	356
261	2396	347
262	2405	338
263	2413	329
264	2421	319
265	2429	310
266	2440	301
267	2448	292
268	2456	283
269	2464	273
270	2472	264
271	2479	255
272	2487	245
273	2496	236
274	2504	227
275	2512	218
276	2521	209
277	2529	200
278	2539	191
279	2548	182
280	2557	172
281	2566	163
282	2576	154
283	2587	145
284	2596	136
285	2607	127
286	2617	118
287	2627	109
288	2637	100
289	2647	91
290	2657	82
291	2668	73
292	2678	63
293	2692	54
294	2702	45
295	2713	36
296	2724	27
297	2733	18
298	2743	9
299	2753	0
