id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
0,3,1,6,19,0,6,0,1,0.8,0.697,0.27,0.194,
1,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,
2,4,0,10,2,0,5,1,1,0.32,0.303,0.66,0.2836,
3,2,1,5,19,0,2,1,1,0.78,0.7121,0.52,0.3582,
4,1,0,1,0,0,4,1,1,0.26,0.2273,0.56,0.3881,
5,1,0,2,0,0,5,1,1,0.44,0.4394,0.72,0.2836,
6,2,1,5,18,0,4,1,1,0.72,0.6667,0.58,0.1343,
7,4,0,12,7,0,0,0,1,0.26,0.303,0.87,0,
8,1,1,3,2,0,3,1,1,0.5,0.4848,0.68,0.194,
9,4,0,10,5,0,3,1,1,0.42,0.4242,0.71,0.2239,
10,1,1,12,0,0,1,1,1,0.18,0.1818,0.55,0.194,
11,2,1,4,22,0,1,1,1,0.32,0.3182,0.76,0.194,
12,2,1,6,16,0,6,0,2,0.72,0.6515,0.37,0.1045,
13,2,1,6,4,0,1,1,2,0.54,0.5152,0.77,0.194,
14,3,0,9,17,0,0,0,2,0.56,0.5303,0.64,0.194,
15,2,0,3,8,0,2,1,2,0.4,0.4091,0.58,0.2985,
16,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,
17,4,1,12,14,0,6,0,2,0.36,0.3788,0.71,0,
18,4,1,9,6,0,0,0,1,0.44,0.4394,0.62,0.2537,
19,2,1,5,17,0,4,1,1,0.66,0.6212,0.31,0.1343,
20,1,0,1,3,0,6,0,1,0.2,0.2121,0.64,0.1343,
21,3,1,8,6,0,1,1,2,0.6,0.5758,0.78,0.1343,
22,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,
23,3,0,7,10,0,1,1,1,0.82,0.803,0.59,0,
24,4,0,12,22,0,4,1,1,0.52,0.5,0.63,0.3284,
25,4,1,10,6,0,1,1,1,0.36,0.3636,0.76,0.0896,
26,2,1,5,2,0,5,1,2,0.62,0.5758,0.83,0,
27,1,1,1,15,0,4,1,1,0.44,0.4394,0.72,0.1343,
28,1,1,1,4,0,0,0,2,0.16,0.1364,0.47,0.3881,
29,4,0,12,6,0,5,1,2,0.44,0.4394,0.33,0.2985,
30,4,1,10,3,0,3,1,2,0.3,0.3182,0.81,0.1045,
31,3,1,7,1,0,4,1,1,0.66,0.6212,0.65,0.2239,
